ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
220.9,210,9650,-5400,9850,-5200,2021/1/10 17:35
219.5,210,9450,-5600,9650,-5400,2021/1/10 17:36
219.5,210,9250,-5800,9450,-5600,2021/1/10 17:37
216.7,210,10050,-5000,9250,-5800,2021/1/10 17:38
215.3,210,10050,-5000,10050,-5000,2021/1/10 17:39
218.1,210,10050,-5000,10050,-5000,2021/1/10 17:41
220.9,210,9850,-5200,10050,-5000,2021/1/10 17:41
226.6,210,9650,-5400,9850,-5200,2021/1/10 17:42
226.6,210,9450,-5600,9650,-5400,2021/1/10 17:43
226.6,210,9250,-5800,9450,-5600,2021/1/10 17:44
228,210,9050,-6000,9250,-5800,2021/1/10 17:44
225.2,210,8850,-6200,9050,-6000,2021/1/10 17:45
222.3,210,8650,-6400,8850,-6200,2021/1/10 17:46
216.7,210,10050,-5000,8650,-6400,2021/1/10 17:47
204.1,210,10050,-5000,10050,-5000,2021/1/10 17:49
202.7,210,10050,-5000,10050,-5000,2021/1/10 17:50
204.1,210,10050,-5000,10050,-5000,2021/1/10 17:50
204.1,210,10050,-5000,10050,-5000,2021/1/10 17:51
206.9,210,10050,-5000,10050,-5000,2021/1/10 17:52
212.5,210,10050,-5000,10050,-5000,2021/1/10 17:53
215.3,210,10050,-5000,10050,-5000,2021/1/10 17:53
220.9,210,9850,-5200,10050,-5000,2021/1/10 17:54
222.3,210,9650,-5400,9850,-5200,2021/1/10 17:55
220.9,210,9450,-5600,9650,-5400,2021/1/10 17:57
220.9,210,9250,-5800,9450,-5600,2021/1/10 17:58
222.3,210,9050,-6000,9250,-5800,2021/1/10 17:59
222.3,210,8850,-6200,9050,-6000,2021/1/10 17:59
219.5,210,8650,-6400,8850,-6200,2021/1/10 18:00
216.7,210,10050,-5000,8650,-6400,2021/1/10 18:01
213.9,210,10050,-5000,10050,-5000,2021/1/10 18:02
212.5,210,10050,-5000,10050,-5000,2021/1/10 18:02
209.7,210,10050,-5000,10050,-5000,2021/1/10 18:03
211.1,210,10050,-5000,10050,-5000,2021/1/10 18:05
213.9,210,10050,-5000,10050,-5000,2021/1/10 18:06
215.3,210,10050,-5000,10050,-5000,2021/1/10 18:07
215.3,210,10050,-5000,10050,-5000,2021/1/10 18:08
215.3,210,10050,-5000,10050,-5000,2021/1/10 18:08
212.5,210,10050,-5000,10050,-5000,2021/1/10 18:09
213.9,210,10050,-5000,10050,-5000,2021/1/10 18:10
213.9,210,10050,-5000,10050,-5000,2021/1/10 18:11
213.9,210,10050,-5000,10050,-5000,2021/1/10 18:11
212.5,210,10050,-5000,10050,-5000,2021/1/10 18:13
213.9,210,10050,-5000,10050,-5000,2021/1/10 18:14
216.7,210,10050,-5000,10050,-5000,2021/1/10 18:15
219.5,210,9850,-5200,10050,-5000,2021/1/10 18:16
222.3,210,9650,-5400,9850,-5200,2021/1/10 18:16
223.8,210,9450,-5600,9650,-5400,2021/1/10 18:17
223.8,210,9250,-5800,9450,-5600,2021/1/10 18:18
222.3,210,9050,-6000,9250,-5800,2021/1/10 18:19
218.1,210,8850,-6200,9050,-6000,2021/1/10 18:20
212.5,210,10050,-5000,8850,-6200,2021/1/10 18:22
209.7,210,10050,-5000,8850,-6200,2021/1/10 18:22
206.9,210,10050,-5000,10050,-5000,2021/1/10 18:23
201.3,210,10050,-5000,10050,-5000,2021/1/10 18:24
202.7,210,11050,-5000,10050,-5000,2021/1/10 18:25
204.1,210,12050,-5000,11050,-5000,2021/1/10 18:26
212.5,210,12050,-5000,12050,-5000,2021/1/10 18:26
