,ACTIME,TIME,TARSTF,SGTF,dif,dif_s,TOR_P,TOR_N,DATE,ss2,time_interval
0,1/8/2020 07:49:57.02,7:49:57,20,225.4,154.6,0.858888889,6000,-4000,2020/8/1,27330597,0
1,1/8/2020 07:50:33.18,7:50:33,20,226.8,153.2,0.8511111109999999,7000,-4000,2020/8/1,27330633,36
2,1/8/2020 07:51:27.44,7:51:27,20,242.3,137.7,0.765,7000,-4000,2020/8/1,27330687,54
3,1/8/2020 07:52:30.02,7:52:30,20,240.9,139.1,0.7727777779999999,7000,-4000,2020/8/1,27330750,63
4,1/8/2020 07:53:33.1,7:53:33,20,249.4,130.6,0.725555556,7000,-4000,2020/8/1,27330813,63
5,1/8/2020 07:54:45.56,7:54:45,20,334.1,45.9,0.255,7000,-4000,2020/8/1,27330885,72
6,1/8/2020 07:56:45.28,7:56:45,20,104.0,-84.0,-0.46666666700000003,8000,-5000,2020/8/1,27331005,120
7,1/8/2020 07:57:12.46,7:57:12,20,135.0,-115.0,-0.638888889,8000,-6000,2020/8/1,27331032,27
8,1/8/2020 07:58:42.16,7:58:42,20,133.6,-113.6,-0.6311111110000001,8000,-6000,2020/8/1,27331122,90
9,1/8/2020 07:59:45.32,7:59:45,20,132.2,-112.2,-0.6233333329999999,8000,-6000,2020/8/1,27331185,63
10,1/8/2020 08:00:48.53,8:00:48,20,137.9,-117.9,-0.655,7500,-6000,2020/8/1,27331248,63
11,1/8/2020 08:01:59.06,8:01:59,20,142.1,-122.1,-0.678333333,7500,-6000,2020/8/1,27331319,71
12,1/8/2020 08:03:59.45,8:03:59,20,137.9,-117.9,-0.655,7500,-6000,2020/8/1,27331439,120
13,1/8/2020 08:04:27.21,8:04:27,20,142.1,-122.1,-0.678333333,7500,-6000,2020/8/1,27331467,28
14,1/8/2020 08:05:03.28,8:05:03,20,140.7,-120.7,-0.670555556,7500,-6000,2020/8/1,27331503,36
15,1/8/2020 08:05:56.36,8:05:56,20,139.3,-119.3,-0.6627777779999999,7500,-6000,2020/8/1,27331556,53
16,1/8/2020 08:06:59.46,8:06:59,20,137.9,-117.9,-0.655,7500,-6000,2020/8/1,27331619,63
17,1/8/2020 08:08:02.19,8:08:02,20,140.7,-120.7,-0.670555556,7500,-6000,2020/8/1,27331682,63
18,1/8/2020 08:09:14.45,8:09:14,20,133.6,-113.6,-0.6311111110000001,10000,-4000,2020/8/1,27331754,72
19,1/8/2020 08:11:14.21,8:11:14,20,126.6,-106.6,-0.5922222220000001,7500,-6000,2020/8/1,27331874,120
20,1/8/2020 08:11:41.44,8:11:41,20,120.9,-100.9,-0.5605555560000001,7500,-6000,2020/8/1,27331901,27
21,1/8/2020 08:12:17.43,8:12:17,20,122.3,-102.3,-0.568333333,7500,-6000,2020/8/1,27331937,36
22,1/8/2020 08:13:12.36,8:13:12,20,126.6,-106.6,-0.5922222220000001,7000,-6000,2020/8/1,27331992,55
23,1/8/2020 08:14:15.04,8:14:15,20,128.0,-108.0,-0.6,7000,-6000,2020/8/1,27332055,63
24,1/8/2020 08:15:18.18,8:15:18,20,129.4,-109.4,-0.607777778,7000,-6000,2020/8/1,27332118,63
25,1/8/2020 08:16:30.39,8:16:30,20,132.2,-112.2,-0.6233333329999999,7000,-6000,2020/8/1,27332190,72
26,1/8/2020 08:18:30.23,8:18:30,20,133.6,-113.6,-0.6311111110000001,7000,-6000,2020/8/1,27332310,120
27,1/8/2020 08:18:57.16,8:18:57,20,120.9,-100.9,-0.5605555560000001,7000,-6000,2020/8/1,27332337,27
28,1/8/2020 08:20:27.12,8:20:27,20,118.1,-98.1,-0.545,7000,-6000,2020/8/1,27332427,90
29,1/8/2020 08:21:30.22,8:21:30,20,115.3,-95.3,-0.529444444,7000,-6000,2020/8/1,27332490,63
30,1/8/2020 08:22:33.17,8:22:33,20,111.0,-91.0,-0.505555556,7000,-6000,2020/8/1,27332553,63
31,1/8/2020 08:23:45.09,8:23:45,20,109.6,-89.6,-0.49777777799999995,7000,-6000,2020/8/1,27332625,72
32,1/8/2020 08:25:45.14,8:25:45,20,106.8,-86.8,-0.48222222200000003,7000,-6000,2020/8/1,27332745,120
33,1/8/2020 08:26:12.16,8:26:12,20,122.3,-102.3,-0.568333333,7000,-6000,2020/8/1,27332772,27
34,1/8/2020 08:26:48.23,8:26:48,20,111.0,-91.0,-0.505555556,7000,-6000,2020/8/1,27332808,36
35,1/8/2020 08:27:42.38,8:27:42,20,113.9,-93.9,-0.5216666670000001,7000,-6000,2020/8/1,27332862,54
36,1/8/2020 08:28:45.53,8:28:45,20,112.5,-92.5,-0.513888889,8000,-6000,2020/8/1,27332925,63
37,1/8/2020 08:29:48.5,8:29:48,20,92.7,-72.7,-0.403888889,8000,-6000,2020/8/1,27332988,63
38,1/8/2020 08:31:00.42,8:31:00,20,72.9,-52.9,-0.293888889,8000,-6000,2020/8/1,27333060,72
39,1/8/2020 08:33:00.37,8:33:00,20,70.1,-50.1,-0.278333333,8000,-6000,2020/8/1,27333180,120
40,1/8/2020 08:34:02.21,8:34:02,20,68.7,-48.7,-0.27055555600000003,8000,-6000,2020/8/1,27333242,62
41,1/8/2020 08:35:59.25,8:35:59,20,60.2,-40.2,-0.223333333,8000,-6000,2020/8/1,27333359,117
42,1/8/2020 08:37:02.44,8:37:02,20,64.5,-44.5,-0.247222222,8000,-6000,2020/8/1,27333422,63
43,1/8/2020 08:38:14.1,8:38:14,20,53.2,-33.2,-0.18444444399999999,8000,-6000,2020/8/1,27333494,72
44,1/8/2020 08:40:15.05,8:40:15,20,51.7,-31.7,-0.17611111100000001,8000,-6000,2020/8/1,27333615,121
45,1/8/2020 08:40:42.46,8:40:42,20,34.8,-14.8,-0.082222222,8000,-6000,2020/8/1,27333642,27
46,1/8/2020 08:41:18.42,8:41:18,20,32.0,-12.0,-0.066666667,8000,-6000,2020/8/1,27333678,36
47,1/8/2020 08:41:45.52,8:41:45,20,39.0,-19.0,-0.105555556,8000,-6000,2020/8/1,27333705,27
48,1/8/2020 08:42:39.06,8:42:39,20,29.2,-9.2,-0.051111110999999994,8000,-6000,2020/8/1,27333759,54
49,1/8/2020 08:44:18.24,8:44:18,20,30.6,-10.6,-0.05888888900000001,8000,-6000,2020/8/1,27333858,99
50,1/8/2020 08:45:30.61,8:45:30,20,23.5,-3.5,-0.019444443999999998,8000,-6000,2020/8/1,27333930,72
51,1/8/2020 08:47:30.5,8:47:30,20,19.3,0.7,0.0038888890000000004,8000,-6000,2020/8/1,27334050,120
52,1/8/2020 08:48:33.06,8:48:33,20,20.7,-0.7,-0.0038888890000000004,8000,-6000,2020/8/1,27334113,63
53,1/8/2020 08:49:27.19,8:49:27,20,8.0,12.0,0.066666667,8000,-6000,2020/8/1,27334167,54
54,1/8/2020 08:50:30.48,8:50:30,20,16.5,3.5,0.019444443999999998,8000,-6000,2020/8/1,27334230,63
55,1/8/2020 08:51:33.53,8:51:33,20,358.1,21.9,0.12166666699999999,9000,-6000,2020/8/1,27334293,63
56,1/8/2020 08:53:09.01,8:53:09,20,5.2,14.8,0.082222222,9000,-6000,2020/8/1,27334389,96
57,1/8/2020 08:55:08.4,8:55:08,20,345.4,34.6,0.192222222,9000,-6000,2020/8/1,27334508,119
58,1/8/2020 08:56:03.15,8:56:03,20,351.0,29.0,0.161111111,9000,-6000,2020/8/1,27334563,55
59,1/8/2020 08:59:16.62,8:59:16,20,342.6,37.4,0.207777778,9000,-5000,2020/8/1,27334756,193
60,1/8/2020 09:00:23.3,9:00:23,20,356.7,23.3,0.129444444,9000,-6000,2020/8/1,27334823,67
