,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2,a_loss
0,0.6556714947883944,-0.1345954879797897,-0.008612414219157039,-1.0,-1.0,-0.42509933566074976,0.15719416737556458,-1.0,-1.0,0.00417713588103652
1,0.15719416737556458,-1.0,-1.0,-1.0,-0.4521208703517914,-0.024869563962964695,0.0797208622097969,-1.0,-0.4521208703517914,0.008116526529192924
2,0.0797208622097969,-1.0,-0.4521208703517914,-0.9999996423721313,-0.24944525957107544,-0.006697432934491475,0.05896533280611038,-0.9999996423721313,-0.24944525957107544,0.004620170220732689
3,0.05896533280611038,-0.9999996423721313,-0.24944525957107544,-0.9999995827674866,-0.23755845427513123,-0.0038541463644807426,0.04468882083892822,-0.9999995827674866,-0.23755845427513123,0.004529508296400309
4,0.04468882083892822,-0.9999995827674866,-0.23755845427513123,-0.9999996423721313,-0.23735444247722626,-0.002393584090522539,0.0337819904088974,-0.9999996423721313,-0.23735444247722626,0.0041133644990623
5,0.0337819904088974,-0.9999996423721313,-0.23735444247722626,-0.9999997019767761,-0.2372063845396042,-0.0015488483410743496,0.02539071999490261,-0.9999997019767761,-0.2372063845396042,0.003593356814235449
6,0.02539071999490261,-0.9999997019767761,-0.2372063845396042,-0.9999997019767761,-0.2371746003627777,-0.0010587826834464933,0.018892936408519745,-0.9999997019767761,-0.2371746003627777,0.0048041264526546
7,0.018892936408519745,-0.9999997019767761,-0.2371746003627777,-0.9999995827674866,-0.23696616291999817,-0.0007747495170702466,0.013860078528523445,-0.9999995827674866,-0.23696616291999817,0.026176322251558304
8,0.013860078528523445,-0.9999995827674866,-0.23696616291999817,-1.0,-0.23575308918952942,-0.0006118286618178161,0.010051310062408447,-1.0,-0.23575308918952942,0.005431790836155415
9,0.010051310062408447,-1.0,-0.23575308918952942,-1.0,-0.23519736528396606,-0.0005218385826939961,0.007124736905097961,-1.0,-0.23519736528396606,0.006151987239718437
10,0.007124736905097961,-1.0,-0.23519736528396606,-1.0,-0.2351277768611908,-0.00047221399202568656,0.004837587475776672,-1.0,-0.2351277768611908,0.022320464253425598
11,0.004837587475776672,-1.0,-0.2351277768611908,-1.0,-0.23461100459098816,-0.00044511402690169017,0.0030907029286026955,-1.0,-0.23461100459098816,0.0033934987150132656
12,0.0030907029286026955,-1.0,-0.23461100459098816,-1.0,-0.23373980820178986,-0.0004312816040947822,0.001798342913389206,-1.0,-0.23373980820178986,0.012407185509800911
13,0.001798342913389206,-1.0,-0.23373980820178986,-1.0,-0.2324770987033844,-0.00042481010738054995,0.0008970629423856735,-1.0,-0.2324770987033844,0.0044115767814219
14,0.0008970629423856735,-1.0,-0.2324770987033844,-1.0,-0.23165960609912872,-0.0004222606979420977,0.00026145949959754944,-1.0,-0.23165960609912872,0.004940785933285952
